City_name;Feautures;Frequency;NOM;GEN;GEN SUM;GEN % marked;GEN % marked rounded;NOM;DAT;DAT SUM;DAT % marked;DAT % marked rounded;NOM;INS;INS SUM;DAT INS % marked;INS  % marked rounded;NOM;LOC;INS SUM;DAT INS % marked;INS  % marked rounded;;;;;;
Мінск;;906,601;6;598;604;99,00662252;99;0;16;16;100;100;0;5;5;100;100;;137;137;100;100;;;;;;
Віцебск;;262,77;5;98;103;95,14563107;95;0;6;6;100;100;0;1;1;100;100;1;31;32;96,875;97;;;;;;
Полацак;;183,47;2;51;53;96,22641509;96;1;5;6;83,33333333;83;NA;NA;NA;NA;NA;2;32;34;94,11764706;94;;;;;;
Гомель;;167,02;3;64;67;95,52238806;96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;12;13;92,30769231;92;;;;;;
Гроднo;n;139,7;0;125;125;100;100;3;0;3;0;0;0;5;5;100;100;37;4;41;9,756097561;10;;;;;;
Нясвиж;;103,03;0;55;55;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
Барысав;;69,00495457;0;38;38;100;100;0;3;3;100;100;0;1;1;100;100;0;11;11;100;100;;;;;;
Магілёв;;61,82;0;100;100;100;100;0;6;6;0;0;NA;NA;NA;NA;NA;0;29;29;100;100;;;;;;
Кіеў;;60,14;2;16;18;88,88888889;89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;6;83,33333333;83;;;;;;
Казімір;;57,11;5;14;19;73,68421053;74;1;1;2;100;100;NA;NA;NA;NA;NA;1;0;1;0;0;;;;;;
Брэст;;55,4;3;87;90;96,66666667;97;0;1;1;100;100;1;1;2;50;50;2;0;2;0;0;;;;;;
Бабруйск;;49,54;12;24;36;66,66666667;67;1;9;10;90;90;NA;NA;NA;NA;NA;0;23;23;100;100;;;;;;
Любань;f;42,41;3;29;32;90,625;91;0;1;1;100;100;NA;NA;NA;NA;NA;4;9;13;69,23076923;69;;;;;;
Беласток;;28,47;5;12;17;70,58823529;71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;7;71,42857143;71;;;;;;
Мядзел;;23,63;7;10;17;58,82352941;59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;2;0;0;;;;;;
Наваполацк;;19,11;0;16;16;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6;6;100;100;;;;;;
Лепель;;18,17;3;6;9;66,66666667;67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;3;66,66666667;67;;;;;;
Салігорск;;17,95;0;17;17;100;100;0;1;1;100;100;NA;NA;NA;NA;NA;0;11;11;100;100;;;;;;
Мазыр;;10,04312311;9;3;12;25;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;5;60;60;;;;;;
Рагачов;;7,91;0;13;13;100;100;0;4;4;100;100;0;1;1;100;100;0;15;15;100;100;;;;;;
Дзятлава;c;7,19;0;71;71;100;100;2;0;2;0;0;2;0;2;0;0;3;0;3;0;0;;;;;;
Камянец;;7,16;8;4;12;33,33333333;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;0;8;0;0;;;;;;
Ліда;f;44;15;32;47;68,08510638;68;1;4;5;20;20;NA;NA;NA;NA;NA;20;4;24;16,66666667;17;;;;;;
Жлобін;;5,17;0;6;6;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;4;100;100;;;;;;
Вроцлав;;2,7;0;4;4;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;100;100;;;;;;
Орша;f;27,99;7;4;11;36,36363636;36;4;1;5;20;20;NA;NA;NA;NA;NA;11;2;13;15,38461538;15;;;;;;
Любань;f;12,59;3;29;32;90,625;91;0;1;1;100;100;NA;NA;NA;NA;NA;9;4;13;30,76923077;31;;;;;;
Барань;f;6,1;11;1;12;8,333333333;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;;3;0;0;;;;;;
Горкі;;15,72;14;0;14;0;0;2;0;2;0;0;0;1;1;100;100;22;1;23;4,347826087;4;;;;;;
Крупкі;;4,71;4;0;4;0;0;1;0;1;0;0;NA;NA;NA;NA;NA;2;0;2;0;0;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Снова кажется, так же, как в русском. Названия городов в основном склоняются. При том, видимо, тоже влияют частотность и род. Но доказать не очень понимаю, как на таких данных.;;;;;;;;;;;;;;;;;;;;;;;;;;;;