;;Freq;NOM;GEN;Sum GEN;% conc;round conc;NOM;DAT;Sum DAT;DAT % conc;DAT round conc;NOM;INS;Sum INS ;INS % conc;INS % округ;NOM;LOC;Sum LOC;LOC % conc;LOC % conc округ
Praha;f;794,51;2903;79140;82043;96,46161159;96;385;1014;1399;72,4803431;72;642;1780;2422;73,49298101;73;2745;5469;8214;66,58144631;87
Brno;o;571,17;1291;55296;56587;97,71855727;98;93;893;986;90,56795132;91;197;1889;2086;90,55608821;91;645;4209;4854;86,71199011;15
Ostrava;f;474,92;2710;21010;23720;88,57504216;89;451;57;508;11,22047244;11;1109;203;1312;15,47256098;15;1109;203;1312;15,47256098;48
Plzeň;;472,23;1791;17589;19380;90,75851393;91;157;204;361;56,50969529;57;390;230;620;37,09677419;37;476;431;907;47,51929438;48
Olomouc;;52,04;2843;14688;17531;83,78301295;84;205;106;311;34,08360129;34;532;493;1025;48,09756098;48;532;493;1025;48,09756098;33
Liberec;;42,28;4917;3997;8914;44,83957819;45;298;65;363;17,90633609;18;541;35;576;6,076388889;6;509;246;755;32,58278146;34
Zlín;;33,27;1603;5407;7010;77,13266762;77;179;52;231;22,51082251;23;227;132;359;36,76880223;37;373;195;568;34,33098592;27
Jihlava;f;23,52;1007;5069;6076;83,42659645;83;165;62;227;27,31277533;27;340;81;421;19,23990499;19;363;135;498;27,10843373;25
Opava;f;17,26;607;3759;4366;86,09711406;86;61;38;99;38,38383838;38;269;169;438;38,58447489;39;330;108;438;24,65753425;25
Kolín;;15,88;1061;2895;3956;73,17997978;73;127;51;178;28,65168539;29;175;37;212;17,45283019;17;419;142;561;25,31194296;48
Prostějov;;15,69;1479;9836;11315;86,9288555;87;235;136;371;36,65768194;37;288;298;586;50,85324232;51;201;184;385;47,79220779;29
Třebíč;;13,91;931;1733;2664;65,05255255;65;89;36;125;28,8;29;181;33;214;15,42056075;15;273;112;385;29,09090909;29
Tábor;;13,9;1772;1727;3499;49,35695913;49;96;56;152;36,84210526;37;174;15;189;7,936507937;8;406;166;572;29,02097902;23
Trutnov;;10,34;753;2163;2916;74,17695473;74;66;45;111;40,54054054;41;92;28;120;23,33333333;23;144;42;186;22,58064516;9
Litoměřice;pl;9,69;2174;604;2778;21,74226062;22;129;12;141;8,510638298;9;263;4;267;1,498127341;1;287;29;316;9,17721519;0
Dvůr;;9,16;747;231;978;23,6196319;24;46;0;46;0;0;74;0;74;0;0;82;0;82;0;12
Litvínov;;8,58;545;959;1504;63,76329787;64;64;13;77;16,88311688;17;97;11;108;10,18518519;10;85;12;97;12,37113402;17
Břeclav;;7,72;670;505;1175;42,9787234;43;41;6;47;12,76595745;13;69;6;75;8;8;268;54;322;16,77018634;20
Rakovník;;4,94;565;549;1114;49,28186715;49;43;4;47;8,510638298;9;53;11;64;17,1875;17;133;33;166;19,87951807;22
Mikulov;;4,81;955;761;1716;44,34731935;44;47;16;63;25,3968254;25;79;17;96;17,70833333;18;182;51;233;21,88841202;2
Polička;f;4,01;363;1974;2337;84,46726573;84;65;44;109;40,36697248;40;213;53;266;19,92481203;20;120;2;122;1,639344262;23
Chotěboř;;3,48;747;564;1311;43,02059497;43;66;10;76;13,15789474;13;89;6;95;6,315789474;6;83;25;108;23,14814815;24
Tachov;;2,86;326;288;614;46,90553746;47;20;7;27;25,92592593;26;31;9;40;22,5;23;81;26;107;24,29906542;11
Bílina;f;2,82;542;631;1173;53,79369139;54;46;7;53;13,20754717;13;63;13;76;17,10526316;17;168;20;188;10,63829787;23
Dobříš;;2,06;485;806;1291;62,43222308;62;45;5;50;10;10;69;1;70;1,428571429;1;101;31;132;23,48484848;34
Šternberk;;2,05;500;377;877;42,98745724;43;18;8;26;30,76923077;31;47;8;55;14,54545455;15;106;55;161;34,16149068;13
Žamberk;;1,88;672;568;1240;45,80645161;46;51;9;60;15;15;94;15;109;13,76146789;14;98;15;113;13,27433628;13
Opočno;o;1,49;116;315;431;73,08584687;73;10;14;24;58,33333333;58;19;14;33;42,42424242;42;41;17;58;29,31034483;0
Slatiňany;;1,38;564;47;611;7,692307692;8;48;0;48;0;0;43;0;43;0;0;48;0;48;0;0
Volary;;1,26;314;44;358;12,29050279;12;28;0;28;0;0;28;;28;0;0;67;0;67;0;8
Javorník;;1,14;228;33;261;12,64367816;13;18;1;19;5,263157895;5;41;18;59;30,50847458;31;85;7;92;7,608695652;12
Chrastava;f;1;847;863;1710;50,46783626;50;83;5;88;5,681818182;6;73;13;86;15,11627907;15;67;9;76;11,84210526;22
Vítkov;;0,86;149;223;372;59,94623656;60;8;1;9;11,11111111;11;20;7;27;25,92592593;26;43;12;55;21,81818182;6
Blatná;adj, f;0,84;309;8;317;2,523659306;3;16;0;16;0;0;11;0;11;0;0;83;5;88;5,681818182;22
Uničov;;0,82;235;321;556;57,73381295;58;13;6;19;31,57894737;32;16;8;24;33,33333333;33;59;17;76;22,36842105;25
Dubá;adj, f;0,23;301;9;310;2,903225806;3;12;14;26;53,84615385;54;16;35;51;68,62745098;69;82;27;109;24,7706422;6
Most;;0,02;1753;5121;6874;74,49810882;74;261;60;321;18,69158879;19;346;12;358;3,351955307;3;416;25;441;5,66893424;3
Říčany;pl;0,02;2215;259;2474;10,46887631;10;174;0;174;0;0;254;0;254;0;0;192;5;197;2,538071066;0
Bavorov;;0,14;64;23;87;26,43678161;26;9;2;11;18,18181818;18;1;0;1;0;0;22;0;22;0;15
Benešov;;8,7;1099;382;1481;25,79338285;26;35;16;51;31,37254902;31;81;11;92;11,95652174;12;139;25;164;15,24390244;24
Bechyně;;2,3;745;0;745;0;0;21;13;34;38,23529412;38;20;4;24;16,66666667;17;86;27;113;23,89380531;52
Blansko;o;7,97;769;3020;3789;79,7044075;80;45;13;58;22,4137931;22;87;106;193;54,92227979;55;187;205;392;52,29591837;17
Bohumín;;3,51;455;412;867;47,52018454;48;29;9;38;23,68421053;24;30;17;47;36,17021277;36;98;20;118;16,94915254;17
Cvikov;;0,85;179;159;338;47,04142012;47;16;1;17;5,882352941;6;25;0;25;0;0;N/A;N/A;N/A;N/A;N/A
Čáslav;;3,82;399;280;679;41,2371134;41;27;17;44;38,63636364;39;31;4;35;11,42857143;11;42;3;45;6,666666667;15
Děčín;;10,41;2247;1237;3484;35,50516648;36;90;17;107;15,88785047;16;153;14;167;8,383233533;8;277;49;326;15,03067485;3
Habartov;;0,14;68;68;136;50;50;21;0;21;0;0;6;1;7;14,28571429;14;28;1;29;3,448275862;31
Hodonín;;8,62;824;813;1637;49,66401955;50;31;15;46;32,60869565;33;53;17;70;24,28571429;24;204;93;297;31,31313131;10
Jablunkov;;0,44;202;119;321;37,07165109;37;9;0;9;0;0;20;3;23;13,04347826;13;53;6;59;10,16949153;3
Kaznějov;;0,19;53;23;76;30,26315789;30;3;0;3;0;0;11;0;11;0;0;29;1;30;3,333333333;5
Neveklov;;0,17;88;10;98;10,20408163;10;3;0;3;0;0;N/A;N/A;N/A;N/A;N/A;20;1;21;4,761904762;49
Kladno;o;18,58;434;3393;3827;88,65952443;89;71;44;115;38,26086957;38;90;94;184;51,08695652;51;197;193;390;49,48717949;24
Tachov;;2,86;326;288;614;46,90553746;47;20;7;27;25,92592593;26;31;9;40;22,5;23;81;26;107;24,29906542;0
Zbýšov;;0,37;39;69;108;63,88888889;64;3;5;8;62,5;63;2;0;2;0;0;16;0;16;0;4
Jiříkov;;0,28;113;80;193;41,4507772;41;5;0;5;0;0;11;0;11;0;0;25;1;26;3,846153846;3
Lišov;;0,41;155;26;181;14,36464088;14;11;3;14;21,42857143;21;5;0;5;0;0;30;1;31;3,225806452;5
Šenov;;1,62;119;43;162;26,54320988;27;4;0;4;0;0;12;1;13;7,692307692;8;35;2;37;5,405405405;0