City_name;Frequency;Features;NOM;GEN;GEN SUM;GEN % marked;GEN % marked rounded;NOM;DAT;GEN SUM;GEN % marked;DAT % marked rounded;NOM;INS;INS SUM;INS % marked;INS % marked rounded;NOM;LOC;LOC SUM;LOC  % marked;LOC % marked rounded
Львов;127,02;;557;7981;8538;93,47622394;93;3;156;159;98,11320755;98;0;68;68;100;100;2;2981;2983;99,9329534;100
Москва;126,72;f;158;1810;1968;91,97154472;92;11;117;128;91,40625;91;1;11;12;91,66666667;92;163;369;532;69,36090226;69
Київ;80,6;;1081;25325;26406;95,90623343;96;52;557;609;91,46141215;91;44;188;232;81,03448276;81;633;15361;15994;96,04226585;96
Одеса;42,97;f;357;1753;2110;83,08056872;83;20;26;46;56,52173913;57;11;12;23;52,17391304;52;533;578;1111;52,02520252;52
Харкiв;42,5;;337;3559;3896;91,35010267;91;8;90;98;91,83673469;92;14;25;39;64,1025641;64;216;1613;1829;88,19026791;88
Донецьк;38,2;;313;1361;1674;81,30227001;81;7;41;48;85,41666667;85;13;0;13;0;0;216;716;932;76,82403433;77
Дніпропетровськ;35,38;;460;1646;2106;78,15764482;78;13;25;38;65,78947368;66;8;7;15;46,66666667;47;283;1065;1348;79,00593472;79
Луцьк;31,5;;358;3605;3963;90,96643957;91;10;69;79;87,34177215;87;15;12;27;44,44444444;44;226;1809;2035;88,89434889;89
Суми;29,69;pl;2840;145;2985;4,857621441;5;68;1;69;1,449275362;1;23;1;24;4,166666667;4;1331;50;1381;3,620564808;4
Чернівці;26,8;pl;1855;792;2647;29,9206649;30;61;3;64;4,6875;5;44;5;49;10,20408163;10;960;365;1325;27,54716981;28
Полтава;25,95;f;449;1244;1693;73,47903131;73;21;9;30;30;30;10;6;16;37,5;38;385;422;807;52,29244114;52
Ужгород;23,27;;704;1176;1880;62,55319149;63;19;21;40;52,5;53;11;13;24;54,16666667;54;453;514;967;53,1540848;53
Вінниця;21,4;f;290;1560;1850;84,32432432;84;19;32;51;62,74509804;63;12;15;27;55,55555556;56;428;541;969;55,83075335;56
Житомир;18,4;;267;2129;2396;88,85642738;89;6;50;56;89,28571429;89;14;21;35;60;60;173;944;1117;84,51208594;85
Кіровоград;16,62;;276;2358;2634;89,52164009;90;11;94;105;89,52380952;90;4;11;15;73,33333333;73;168;1128;1296;87,03703704;87
Луганськ;16,12;;166;1067;1233;86,53690187;87;3;22;25;88;88;4;5;9;55,55555556;56;142;463;605;76,52892562;77
Черкаси;15,8;pl;2330;257;2587;9,934286819;10;81;2;83;2,409638554;2;55;2;57;3,50877193;4;77;1122;1199;93,57798165;94
Херсон;13,1;;262;1222;1484;82,34501348;82;5;29;34;85,29411765;85;7;11;18;61,11111111;61;101;757;858;88,22843823;88
Сімферополь;12,78;;137;408;545;74,86238532;75;3;11;14;78,57142857;79;2;3;5;60;60;109;186;295;63,05084746;63
Дрогобич;12,36;;184;640;824;77,66990291;78;2;16;18;88,88888889;89;1;13;14;92,85714286;93;149;281;430;65,34883721;65
Трускавець;11,33;;127;431;558;77,24014337;77;8;4;12;33,33333333;33;10;3;13;23,07692308;23;139;158;297;53,1986532;53
Кременчук;10,37;;298;1477;1775;83,21126761;83;2;26;28;92,85714286;93;12;9;21;42,85714286;43;221;13;234;5,555555556;6
Калуш;9,54;;953;250;1203;20,78137988;21;4;24;28;85,71428571;86;6;11;17;64,70588235;65;223;485;708;68,50282486;69
Коломия;8,8;f;177;619;796;77,7638191;78;6;12;18;66,66666667;67;3;6;9;66,66666667;67;313;230;543;42,3572744;42
Тернопіль;8,6;;256;2273;2529;89,87742191;90;8;2;10;20;20;21;0;21;0;0;307;1043;1350;77,25925926;77
Ялта;7,63;f;117;96;213;45,07042254;45;0;1;1;100;100;5;0;5;0;0;196;42;238;17,64705882;18
Ковель;7,44;;234;939;1173;80,0511509;80;3;22;25;88;88;4;5;9;55,55555556;56;125;542;667;81,25937031;81
Севастополь;6,92;;517;1973;2490;79,23694779;79;10;55;65;84,61538462;85;15;15;30;50;50;265;1169;1434;81,52022315;82
Сочі;6,79;;242;0;242;0;0;12;0;12;0;0;4;0;4;0;0;297;0;297;0;0
Умань;6,42;f;451;356;807;44,11400248;44;11;4;15;26,66666667;27;12;5;17;29,41176471;29;375;170;545;31,19266055;31
Тростянець;6,22;ch;251;21;272;7,720588235;8;9;0;9;0;0;4;1;5;20;20;136;3;139;2,158273381;2
Чернігів;6;;206;2026;2232;90,77060932;91;7;0;7;0;0;8;0;8;0;0;133;0;133;0;0
Галич;5,96;;86;269;355;75,77464789;76;2;4;6;66,66666667;67;4;4;8;50;50;57;174;231;75,32467532;75
Маріуполь;5,27;;123;404;527;76,66034156;77;2;4;6;66,66666667;67;6;4;10;40;40;87;150;237;63,29113924;63
Коростень;4,9;;147;508;655;77,55725191;78;4;21;25;84;84;8;6;14;42,85714286;43;105;224;329;68,08510638;68
Ніжин;4,86;;104;322;426;75,58685446;76;5;10;15;66,66666667;67;2;1;3;33,33333333;33;81;214;295;72,54237288;73
Миколаїв;4,75;;203;2060;2263;91,02960672;91;3;0;3;0;0;14;0;14;0;0;125;759;884;85,85972851;86
Славутич;4,52;;206;270;476;56,72268908;57;3;5;8;62,5;63;0;1;1;100;100;120;81;201;40,29850746;40
Бердянськ;4;;121;510;631;80,82408875;81;5;11;16;68,75;69;2;5;7;71,42857143;71;114;208;322;64,59627329;65
Дубно;3,9;n;505;266;771;34,50064851;35;2;1;3;33,33333333;;12;5;17;29,41176471;29;465;83;548;15,1459854;15
Комсомольськ;3,8;;87;273;360;75,83333333;76;2;6;8;75;75;6;1;7;14,28571429;14;72;121;193;62,69430052;63
Євпаторія;3,76;f;82;76;158;48,10126582;48;4;2;6;33,33333333;33;0;1;1;100;100;152;52;204;25,49019608;25
Дніпродзержинськ;3,5;;200;313;513;61,01364522;61;2;0;2;0;0;3;3;6;50;50;92;127;219;57,99086758;58
Миргород;3,42;;94;260;354;73,44632768;73;2;17;19;89,47368421;89;3;5;8;62,5;63;61;115;176;65,34090909;65
Краматорськ;3,32;;56;203;259;78,37837838;78;1;5;6;83,33333333;83;NA;NA;NA;NA;NA;62;98;NA;NA;NA
Іллічівськ;3,22;;67;254;321;79,12772586;79;1;3;4;75;75;3;2;5;40;40;65;73;138;52,89855072;53
Бориспіль;3,07;;214;448;662;67,67371601;68;4;6;10;60;60;3;0;3;0;0;142;0;142;0;0
Світловодськ;2,91;;74;231;305;75,73770492;76;2;11;13;84,61538462;85;2;0;2;0;0;41;105;146;71,91780822;72
Мелітополь;2,88;;51;159;210;75,71428571;76;0;4;4;100;100;1;3;4;75;75;65;88;153;57,51633987;58
Глухів;2,83;;68;179;247;72,46963563;72;8;12;20;60;60;2;1;3;33,33333333;33;72;171;243;70,37037037;70
Сокаль;2,7;;99;111;210;52,85714286;53;1;0;1;0;0;2;1;3;33,33333333;33;63;62;125;49,6;50
Нововолинськ;2,69;;129;275;404;68,06930693;68;0;6;6;100;100;2;0;2;0;0;147;54;201;26,86567164;27
Люблін;2,67;;219;128;347;36,88760807;37;3;2;5;40;40;7;5;12;41,66666667;42;100;73;173;42,19653179;42
Ірпінь;2,67;f;288;527;815;64,66257669;65;5;0;5;0;0;5;0;5;0;0;246;9;255;3,529411765;4
Хмільник;2,66;;71;638;709;89,98589563;90;5;5;10;50;50;2;6;8;75;75;64;242;306;79,08496732;79
Червоноград;2,61;;94;175;269;65,05576208;65;3;0;3;0;0;7;1;8;12,5;13;80;129;209;61,72248804;62
Конотоп;2,52;;179;76;255;29,80392157;30;9;0;9;0;0;6;5;11;45,45454545;45;130;66;196;33,67346939;34
Стрий;2,29;;192;331;523;63,28871893;63;0;4;4;100;100;1;2;3;66,66666667;67;197;173;370;46,75675676;47
Вознесенськ;2,28;;66;600;666;90,09009009;90;3;22;25;88;88;11;2;13;15,38461538;15;62;203;265;76,60377358;77
Охтирка;2,2;f;288;235;523;44,93307839;45;23;0;23;0;0;4;2;6;33,33333333;33;261;0;261;0;0
Городище;2,2;n;34;19;53;35,8490566;36;NA;NA;NA;NA;NA;0;1;1;100;100;38;7;45;15,55555556;16
Вишгород;2,16;;81;145;226;64,15929204;64;1;4;5;80;80;NA;NA;NA;NA;NA;70;78;NA;NA;NA
Чортков;2,16;;84;237;321;73,8317757;74;0;11;11;100;100;0;3;3;100;100;0;130;130;100;100
Люботин;2,14;;124;224;348;64,36781609;64;10;7;17;41,17647059;41;NA;NA;NA;NA;NA;36;63;NA;NA;NA
Кузнецовськ;2,04;;194;126;320;39,375;39;5;3;8;37,5;38;0;1;1;100;100;80;56;136;41,17647059;41
Нетішин;2,02;;185;253;438;57,76255708;58;2;0;2;0;0;1;1;2;50;50;85;79;164;48,17073171;48
Олександрія;1,99;f;165;705;870;81,03448276;81;11;15;26;57,69230769;58;6;2;8;25;25;200;218;418;52,15311005;52
Макіївка;1,96;f;142;213;355;60;60;2;0;2;0;0;6;2;8;25;25;163;2;165;1,212121212;1
Керчь;1,91;f;112;54;166;32,53012048;33;0;3;3;100;100;5;0;5;0;0;101;30;131;22,90076336;23
Красноармійськ;1,87;;27;164;191;85,86387435;86;0;1;1;100;100;2;0;2;0;0;25;97;122;79,50819672;80
Скадовськ;1,85;;70;271;341;79,47214076;79;2;1;3;33,33333333;33;1;1;2;50;50;56;123;179;68,7150838;69
Ладижин;1,84;;624;145;769;18,8556567;19;20;5;25;20;20;11;1;12;8,333333333;8;310;35;345;10,14492754;10
Бурштин;1,83;;98;157;255;61,56862745;62;3;2;5;40;40;12;1;13;7,692307692;8;69;123;192;64,0625;64
Артемівськ;1,82;;37;164;201;81,5920398;82;0;5;5;100;100;2;1;3;33,33333333;33;48;91;139;65,4676259;65
Новодністровськ;1,82;;188;66;254;25,98425197;26;3;2;5;40;40;1;2;3;66,66666667;67;77;48;125;38,4;38
Алчевськ;1,81;;58;167;225;74,22222222;74;NA;NA;NA;NA;NA;0;1;1;100;100;39;58;97;59,79381443;60
Горлівка;1,63;f;104;189;293;64,50511945;65;5;0;5;0;0;NA;NA;NA;NA;NA;188;0;188;0;0
Павлоград;1,61;;118;102;220;46,36363636;46;4;1;5;20;20;2;3;5;60;60;70;49;119;41,17647059;41
Прилуки;1,57;;49;496;545;91,00917431;91;14;0;14;0;0;12;0;12;0;0;327;19;346;5,49132948;5
Чугуєв;1,09;;2;198;200;99;99;13;0;13;0;0;0;2;2;100;100;1;97;98;98,97959184;99
Ровеньки;1,07;pl;144;3;147;2,040816327;2;2;0;2;0;0;5;0;5;0;0;79;10;89;11,23595506;11
Хотин;0,96;;95;52;147;35,37414966;35;1;4;5;80;80;1;2;3;66,66666667;67;87;17;104;16,34615385;16
Котовськ;0,9;;59;122;181;67,40331492;67;2;13;15;86,66666667;87;5;0;5;0;0;34;48;82;58,53658537;59
Моршин;0,9;;83;104;187;55,61497326;56;2;1;3;33,33333333;33;1;0;1;0;0;50;48;98;48,97959184;49
Гадяч;0,9;;66;102;168;60,71428571;61;1;1;2;50;50;5;4;9;44,44444444;44;50;73;123;59,3495935;59
Ківерці;0,75;;303;12;315;3,80952381;4;8;0;8;0;0;3;0;3;0;0;192;4;196;2,040816327;2
Саки;0,7;pl;130;1;131;0,763358779;1;3;0;3;0;0;6;0;6;0;0;87;3;90;3,333333333;3
Богуслав;0,65;;37;86;123;69,91869919;70;1;1;2;50;50;0;4;4;100;100;29;42;71;59,15492958;59
Красилів;0,6;;112;70;182;38,46153846;38;3;1;4;25;25;1;0;1;0;0;33;0;33;0;0
Старокостянтинів;0,49;;76;105;181;58,01104972;58;4;0;4;0;0;3;0;3;0;0;66;0;66;0;0
Богодухов;0,48;;1;115;116;99,13793103;99;1;0;1;0;0;0;2;2;100;100;22;33;55;60;60
Костопіль;0,47;;122;70;192;36,45833333;36;3;0;3;0;0;NA;NA;NA;NA;#ЗНАЧ!;97;0;97;0;0
Добропілль;0,47;;1;117;118;99,15254237;99;0;1;1;100;100;NA;NA;NA;NA;#ЗНАЧ!;18;59;77;76,62337662;77
Комарно;0,47;n;45;16;61;26,2295082;26;NA;NA;NA;NA;NA;0;2;2;100;100;2;35;37;94,59459459;95
Монастирище;0,37;n;12;6;18;33,33333333;33;NA;NA;NA;NA;NA;2;0;2;0;0;18;3;21;14,28571429;14
Ровно;0,31;n;30;0;30;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Першотравенськ;0,27;;20;92;112;82,14285714;82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;15;40;37,5;38